 Nascidos vivos - Brasil
Nascim p/resid.mãe por Região/Unidade da Federação e Idade da mãe
Período:2000-2024
"Região/Unidade da Federação";"Menor de 10 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"Idade ignorada";"Total"
"Região Norte";5;111520;1853660;2389252;1690203;1007514;479206;127298;10525;785;156;31;6;6076;7676237
".. Rondônia";-;6429;141301;209369;162268;96176;42080;9393;556;33;8;4;1;1353;668971
".. Acre";1;6587;99944;116440;86375;55891;28874;8244;787;80;29;2;-;341;403595
".. Amazonas";1;29397;451950;558152;404987;253022;127604;35159;3026;233;46;9;1;1974;1865561
".. Roraima";-;4980;62525;82452;62263;39583;19839;5261;407;38;9;2;-;175;277534
".. Pará";3;50495;869689;1123188;752214;423548;194427;52002;4476;345;52;12;4;1008;3471463
".. Amapá";-;5241;85488;108571;80882;52361;27065;7541;604;26;8;-;-;142;367929
".. Tocantins";-;8391;142763;191080;141214;86933;39317;9698;669;30;4;2;-;1083;621184
"Região Nordeste";10;227499;4317956;6075173;4856511;3275682;1693236;462358;34624;1602;268;117;52;35615;20980703
".. Maranhão";4;40942;719464;944602;618858;346708;159142;41813;3822;270;72;34;6;5578;2881315
".. Piauí";-;13498;269235;382458;288560;183294;88795;22929;1628;65;12;9;2;1382;1251867
".. Ceará";2;31886;603678;890620;772823;553337;297926;84035;6010;217;29;10;34;2822;3243429
".. Rio Grande do Norte";2;12196;226414;325674;281761;202777;107461;28021;1813;58;8;3;-;967;1187155
".. Paraíba";-;13655;277912;413070;350366;243203;125370;33864;2312;83;10;6;1;2217;1462069
".. Pernambuco";-;34011;696579;1014386;830758;557153;283561;75244;5340;276;34;20;5;1301;3498668
".. Alagoas";-;17857;309924;409181;306985;192663;96583;26310;2137;99;14;3;2;942;1362700
".. Sergipe";-;8807;165122;233895;201176;145438;79529;22201;1618;58;13;3;-;2133;859993
".. Bahia";2;54647;1049628;1461287;1205224;851109;454869;127941;9944;476;76;29;2;18273;5233507
"Região Sudeste";3;157359;4157359;7192238;7027937;5632024;3136849;798994;46994;2370;281;66;5;11787;28164266
".. Minas Gerais";1;35931;1002556;1702882;1624463;1275964;704848;182600;11300;499;70;18;1;4972;6546105
".. Espírito Santo";-;9404;220793;356182;332447;253790;134351;32277;1818;79;16;4;-;537;1341698
".. Rio de Janeiro";1;39624;887631;1425882;1317975;1018064;569855;149458;8873;492;66;12;2;2171;5420106
".. São Paulo";1;72400;2046379;3707292;3753052;3084206;1727795;434659;25003;1300;129;32;2;4107;14856357
"Região Sul";1;60225;1470764;2401668;2377731;1926814;1081602;277994;16164;662;51;17;1;2114;9615808
".. Paraná";-;27283;634099;995332;958858;741057;389306;95896;5584;255;22;7;-;634;3848333
".. Santa Catarina";1;11472;321431;569198;580680;467250;254666;63607;3577;162;9;9;1;304;2272367
".. Rio Grande do Sul";-;21470;515234;837138;838193;718507;437630;118491;7003;245;20;1;-;1176;3495108
"Região Centro-Oeste";1;48347;1016555;1625330;1434194;1000824;496716;117829;7212;529;95;34;8;2762;5750436
".. Mato Grosso do Sul";-;11815;204063;293456;249720;170714;83531;19695;1228;109;26;7;2;293;1034659
".. Mato Grosso";1;14021;262502;393656;326807;208672;96170;21336;1222;103;19;8;4;252;1324773
".. Goiás";-;17562;410790;674558;587804;391358;183386;42043;2420;172;38;13;1;1948;2312093
".. Distrito Federal";-;4949;139200;263660;269863;230080;133629;34755;2342;145;12;6;1;269;1078911
"Total";20;604950;12816294;19683661;17386576;12842858;6887609;1784473;115519;5948;851;265;72;58354;72187450
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Nascidos Vivos - SINASC
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
