 Nascidos vivos - Brasil
Nascim p/resid.mãe por Região/Unidade da Federação e Ano do nascimento
Período:2010-2024
"Região/Unidade da Federação";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"Região Norte";306422;313745;308375;313272;321682;320924;307526;312682;319228;313696;301635;309362;289158;284197;265670;4587574
".. Rondônia";25835;27658;26513;27097;27560;27918;26602;27503;28091;27028;25798;25439;24901;23921;21716;393580
".. Acre";16495;17817;16700;17075;17139;16980;15773;16358;16543;16280;15142;15699;14483;14473;13101;240058
".. Amazonas";74188;76202;77434;79041;81145;80097;76703;78066;78087;77622;75635;78454;72519;70453;65950;1141596
".. Roraima";9738;9945;10601;10814;11120;11412;11376;11737;13344;14620;13760;13901;13091;13105;12090;180654
".. Pará";140687;141974;137837;139416;143503;143657;137681;138684;141819;138341;132938;137129;128000;126152;118566;2046384
".. Amapá";15008;15114;14895;15710;16271;15750;15521;15399;15864;15356;14633;14993;13615;12948;12327;223404
".. Tocantins";24471;25035;24395;24119;24944;25110;23870;24935;25480;24449;23729;23747;22549;23145;21920;361898
"Região Nordeste";841160;851004;832631;821458;833090;846374;796119;817311;836850;805275;770688;766074;708975;703448;667121;11897578
".. Maranhão";119566;121109;116039;115000;117071;117564;110493;112985;117156;113317;106079;108667;97964;97205;92173;1662388
".. Piauí";49424;50144;47962;46419;47941;49253;46986;48551;49490;47933;45229;45978;42247;42144;39697;699398
".. Ceará";128831;128592;126868;124876;128681;132516;126246;127797;131491;129185;121904;120266;112308;111091;105453;1856105
".. Rio Grande do Norte";47668;48101;46993;46798;48111;49099;45366;46222;48107;44031;43531;43430;40037;39440;36612;673546
".. Paraíba";58699;58741;56770;56854;57535;59089;56083;57493;60205;57701;56379;56049;50892;51531;49376;843397
".. Pernambuco";136591;140079;141382;141453;143489;145024;130733;135932;138317;133359;128481;126211;117437;116175;110827;1985490
".. Alagoas";54164;54281;52510;52488;51859;52257;48164;50368;52496;49803;48341;48808;45742;46543;45436;753260
".. Sergipe";34016;34925;34108;34228;34369;34917;32218;33867;34256;32697;31784;31206;28524;29005;27545;487665
".. Bahia";212201;215032;209999;203342;204034;206655;199830;204096;205332;197249;188960;185459;173824;170314;160002;2936329
"Região Sudeste";1123593;1143741;1152846;1147627;1182949;1196232;1127499;1151832;1147006;1102997;1052399;1009734;979681;966160;904365;16388661
".. Minas Gerais";255126;259863;260544;258635;267130;268305;253520;260959;263640;256892;247198;242136;235063;233918;219819;3782748
".. Espírito Santo";51853;53053;52835;54065;56548;56941;53413;55846;56721;54925;53767;52493;51729;52187;49937;806313
".. Rio de Janeiro";215262;220603;222859;224031;233584;236960;219129;223224;220499;207989;199124;189866;180369;176145;163722;3133366
".. São Paulo";601352;610222;616608;610896;625687;634026;601437;611803;606146;583191;552310;525239;512520;503910;470887;8666234
"Região Sul";369905;378093;381658;386983;396462;406529;391790;397604;395857;386097;374949;362921;359781;357612;336802;5683043
".. Paraná";152051;152902;153945;155758;159915;160947;155066;157701;156201;153469;146291;141976;140637;139836;131027;2257722
".. Santa Catarina";84611;87481;88772;89875;93232;97223;95313;98335;99609;98032;97916;96499;98202;96802;93787;1415689
".. Rio Grande do Sul";133243;137710;138941;141350;143315;148359;141411;141568;140047;134596;130742;124446;120942;120974;111988;2009632
"Região Centro-Oeste";220788;226577;230279;234687;245076;247609;234866;244106;245991;241081;230474;229010;224327;226159;215367;3496397
".. Mato Grosso do Sul";40132;42152;42252;42296;44058;44142;42432;44747;44275;43695;41308;42173;40485;40233;37908;632288
".. Mato Grosso";48929;51218;51256;53039;56499;56673;53531;57271;58649;58852;57037;57841;58169;58553;55310;832827
".. Goiás";87476;89742;93274;94822;99798;100672;95563;97520;98872;96112;92768;90961;89745;91822;88867;1408014
".. Distrito Federal";44251;43465;43497;44530;44721;46122;43340;44568;44195;42422;39361;38035;35928;35551;33282;623268
"Total";2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932;2849146;2730145;2677101;2561922;2537576;2389325;42053253
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Nascidos Vivos - SINASC
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
