antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Mae_30_34_alta'}),frozenset({'Instrucao_12_mais_alta'}),0.5,0.5,0.5,1.0,2.0,1.0,0.25,inf,1.0,1.0,1.0,1.0
frozenset({'Instrucao_12_mais_alta'}),frozenset({'Mae_30_34_alta'}),0.5,0.5,0.5,1.0,2.0,1.0,0.25,inf,1.0,1.0,1.0,1.0
frozenset({'Mae_30_34_alta'}),frozenset({'Pre_natal_7_mais_alto'}),0.5,0.5,0.5,1.0,2.0,1.0,0.25,inf,1.0,1.0,1.0,1.0
frozenset({'Pre_natal_7_mais_alto'}),frozenset({'Mae_30_34_alta'}),0.5,0.5,0.5,1.0,2.0,1.0,0.25,inf,1.0,1.0,1.0,1.0
frozenset({'Instrucao_12_mais_alta'}),frozenset({'Pre_natal_7_mais_alto'}),0.5,0.5,0.5,1.0,2.0,1.0,0.25,inf,1.0,1.0,1.0,1.0
frozenset({'Pre_natal_7_mais_alto'}),frozenset({'Instrucao_12_mais_alta'}),0.5,0.5,0.5,1.0,2.0,1.0,0.25,inf,1.0,1.0,1.0,1.0
"frozenset({'Mae_30_34_alta', 'Instrucao_12_mais_alta'})",frozenset({'Pre_natal_7_mais_alto'}),0.5,0.5,0.5,1.0,2.0,1.0,0.25,inf,1.0,1.0,1.0,1.0
"frozenset({'Pre_natal_7_mais_alto', 'Instrucao_12_mais_alta'})",frozenset({'Mae_30_34_alta'}),0.5,0.5,0.5,1.0,2.0,1.0,0.25,inf,1.0,1.0,1.0,1.0
"frozenset({'Mae_30_34_alta', 'Pre_natal_7_mais_alto'})",frozenset({'Instrucao_12_mais_alta'}),0.5,0.5,0.5,1.0,2.0,1.0,0.25,inf,1.0,1.0,1.0,1.0
frozenset({'Instrucao_12_mais_alta'}),"frozenset({'Mae_30_34_alta', 'Pre_natal_7_mais_alto'})",0.5,0.5,0.5,1.0,2.0,1.0,0.25,inf,1.0,1.0,1.0,1.0
frozenset({'Mae_30_34_alta'}),"frozenset({'Pre_natal_7_mais_alto', 'Instrucao_12_mais_alta'})",0.5,0.5,0.5,1.0,2.0,1.0,0.25,inf,1.0,1.0,1.0,1.0
frozenset({'Pre_natal_7_mais_alto'}),"frozenset({'Mae_30_34_alta', 'Instrucao_12_mais_alta'})",0.5,0.5,0.5,1.0,2.0,1.0,0.25,inf,1.0,1.0,1.0,1.0
"frozenset({'Queda_nascimento', 'Mae_30_34_alta'})",frozenset({'Instrucao_12_mais_alta'}),0.42857142857142855,0.5,0.42857142857142855,1.0,2.0,1.0,0.21428571428571427,inf,0.8750000000000001,0.8571428571428571,1.0,0.9285714285714286
"frozenset({'Queda_nascimento', 'Instrucao_12_mais_alta'})",frozenset({'Mae_30_34_alta'}),0.42857142857142855,0.5,0.42857142857142855,1.0,2.0,1.0,0.21428571428571427,inf,0.8750000000000001,0.8571428571428571,1.0,0.9285714285714286
"frozenset({'Queda_nascimento', 'Mae_30_34_alta'})",frozenset({'Pre_natal_7_mais_alto'}),0.42857142857142855,0.5,0.42857142857142855,1.0,2.0,1.0,0.21428571428571427,inf,0.8750000000000001,0.8571428571428571,1.0,0.9285714285714286
"frozenset({'Queda_nascimento', 'Pre_natal_7_mais_alto'})",frozenset({'Mae_30_34_alta'}),0.42857142857142855,0.5,0.42857142857142855,1.0,2.0,1.0,0.21428571428571427,inf,0.8750000000000001,0.8571428571428571,1.0,0.9285714285714286
"frozenset({'Queda_nascimento', 'Instrucao_12_mais_alta'})",frozenset({'Pre_natal_7_mais_alto'}),0.42857142857142855,0.5,0.42857142857142855,1.0,2.0,1.0,0.21428571428571427,inf,0.8750000000000001,0.8571428571428571,1.0,0.9285714285714286
