Região/Unidade da Federação;2010;2024;Queda_%;Cluster
Rondônia;25835.0;21716.0;-1.594.348.751.693.430;0
Mato Grosso;48929.0;55310.0;13.041.345.623.250.000;0
Mato Grosso do Sul;40132.0;37908.0;-5.541.712.349.247.480;0
Rio Grande do Sul;133243.0;111988.0;-159.520.575.189.691;0
Santa Catarina;84611.0;93787.0;10.844.925.600.690.200;0
Paraná;152051.0;131027.0;-13.826.939.645.250.600;0
Rio de Janeiro;215262.0;163722.0;-23.942.916.074.365.100;0
Espírito Santo;51853.0;49937.0;-369.506.103.793.416;0
Minas Gerais;255126.0;219819.0;-13.839.044.236.965.200;0
Bahia;212201.0;160002.0;-245.988.473.192.869;0
Sergipe;34016.0;27545.0;-1.902.340.075.258.700;0
Goiás;87476.0;88867.0;15.901.504.412.638.800;0
Alagoas;54164.0;45436.0;-16.114.024.075.031.300;0
Paraíba;58699.0;49376.0;-15.882.723.726.128.200;0
Rio Grande do Norte;47668.0;36612.0;-23.193.756.817.991.100;0
Ceará;128831.0;105453.0;-18.146.253.619.082.300;0
Piauí;49424.0;39697.0;-19.680.721.916.477.800;0
Maranhão;119566.0;92173.0;-2.291.035.913.219.470;0
Tocantins;24471.0;21920.0;-10.424.584.201.708.100;0
Amapá;15008.0;12327.0;-17.863.805.970.149.200;0
Pará;140687.0;118566.0;-15.723.556.547.513.200;0
Roraima;9738.0;12090.0;2.415.280.345.040.040;0
Amazonas;74188.0;65950.0;-11.104.221.707.014.600;0
Acre;16495.0;13101.0;-20.575.932.100.636.500;0
Pernambuco;136591.0;110827.0;-18.862.150.507.720.100;0
Distrito Federal;44251.0;33282.0;-2.478.814.038.100.830;0
São Paulo;601352.0;470887.0;-21.695.279.969.136.200;1
