UF,2000,2024,Queda_percentual,Mae_30_34,Mae_35_39,Instrucao_12_mais,Pre_natal_7_mais,Cesarea
Rondônia,31307.0,21716.0,30.635321174178298,14.376706912556747,6.290257724176385,14.170718910087283,51.109390392109674,60.63835353102003
Acre,15228.0,13101.0,13.96769109535067,13.848288507042952,7.154201613003135,11.378238085209183,36.15332201835999,35.31138889233018
Amazonas,67646.0,65950.0,2.5071696774384296,13.562783527314304,6.839980038176184,9.811204243656466,38.27626113539037,35.137902218153144
Roraima,9744.0,12090.0,-24.076354679802954,14.262396679325775,7.148313359804565,14.181325531286257,40.871749046963615,32.109579366852344
Pará,126340.0,118566.0,6.153237296184898,12.200850189098949,5.600722231520256,9.88352749258742,39.81808246263895,42.64922310852802
Amapá,14238.0,12327.0,13.421828908554573,14.23127831728404,7.356038800964317,14.89716766006485,32.86449287770195,30.46239899545836
Tocantins,26205.0,21920.0,16.35184125166953,13.994726200288483,6.329364568308263,16.955684628065114,52.468672728209356,44.87172882752936
Maranhão,100811.0,92173.0,8.568509388856375,12.032977997893322,5.523241991937709,8.9374816706955,35.64074042581252,37.778965507068826
Piauí,58615.0,39697.0,32.27501492791948,14.641651229723285,7.0930058864080605,13.017277394483601,47.84781450425644,46.2980492336646
Ceará,143393.0,105453.0,26.458753216684215,17.060247041017394,9.185525565689892,12.407794343578972,56.39284843293934,48.37842912547184
Rio Grande do Norte,56444.0,36612.0,35.13570972999787,17.080920351596884,9.051977206009324,13.27998450076022,53.301717130450534,49.62511213784215
Paraíba,57427.0,49376.0,14.019537848050568,16.63416706051493,8.57483470342371,12.11303980865472,57.922574105599665,50.52641154418841
Pernambuco,163405.0,110827.0,32.17649398733209,15.924717635397242,8.104827322855442,12.47594798934909,55.44055623454411,45.05208839478338
Alagoas,65763.0,45436.0,30.90947797393671,14.138328318778894,7.087620165847215,9.791003155500109,51.57283334556395,44.673956116533354
Sergipe,40716.0,27545.0,32.34846252087632,16.911533000850007,9.247633410969625,13.022431577931448,53.42624881830433,35.52796359970372
Bahia,239530.0,160002.0,33.201686636329484,16.262689626669076,8.691475907073402,11.456371415954923,47.204006796971896,36.96177343414273
Minas Gerais,300958.0,219819.0,26.96024029931087,19.491957431174722,10.767441096652131,17.851439902048625,67.16013568373866,52.40896685891839
Espírito Santo,58380.0,49937.0,14.46214457005824,18.9155830894881,10.013505274659424,18.23905230536231,64.70837699690989,57.15265283245559
Rio de Janeiro,259118.0,163722.0,36.81565927492494,18.783101289900973,10.513724270337148,20.053390099750818,65.81696003731292,56.78853882193447
São Paulo,687779.0,470887.0,31.53512974371128,20.760176939743708,11.630004583223196,21.01474809739696,74.71677612486022,57.01709375993052
Paraná,179462.0,131027.0,26.989000456921243,19.256571611656266,10.116224349608,21.641058609013307,78.0388547456782,57.25201015608577
Santa Catarina,94828.0,93787.0,1.0977770278820602,20.562259529380597,11.207080546408218,22.635296147145244,69.51561961602152,54.63540880500377
Rio Grande do Sul,176719.0,111988.0,36.62933810173213,20.557504946914374,12.521215367307677,20.806510127870155,70.37404852725581,56.21585942408647
Mato Grosso do Sul,40490.0,37908.0,6.376883181032354,16.499542361299714,8.073287914182353,18.558674887088404,65.54739290916137,56.52712632857783
Mato Grosso,49478.0,55310.0,-11.787056873762076,15.751528752473066,7.259356886047648,19.053000023400234,65.96050795117353,57.080873477946795
Goiás,94746.0,88867.0,6.2050112933527535,16.926568265203866,7.931601367246041,21.401561269378007,64.55125291240448,60.06090585456554
Distrito Federal,47991.0,33282.0,30.649496780646373,21.32520662037925,12.385544312737567,28.84000626557705,64.19964204647093,51.26613780005951
Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Nascidos Vivos - SINASC,,,,,,,,
Notas:,,,,,,,,
Dados finais disponíveis até 2024 e atualizados em 02/12/2025.,,,,,,,,
"Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram",,,,,,,,
"utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento",,,,,,,,
"""Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011"".",,,,,,,,
"* A categorização da ""Adequação quantitativa de pré-natal"" mostrada na variável ""Adeq quant pré-natal"" considera o início do",,,,,,,,
"pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal , sendo gravada em campo chamado Kotelchuck no",,,,,,,,
"arquivo disponível para download, calculado a partir dos campos 33  Número de consultas pré-natal (Mesprenat) e 34  Mês de gestação em que iniciou o pré-natal (Consprenat).",,,,,,,,
"Maiores informações no documento ""Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi",,,,,,,,
