Cluster,Ano,Media_nascimentos
1,2000,96883.92307692308
2,2000,687779.0
1,2001,95499.65384615384
2,2001,632483.0
1,2002,93696.15384615384
2,2002,623302.0
1,2003,93372.92307692308
2,2003,610555.0
1,2004,92633.38461538461
2,2004,618080.0
1,2005,92931.38461538461
2,2005,618880.0
1,2006,90060.0
2,2006,603368.0
1,2007,88304.61538461539
2,2007,595408.0
1,2008,89732.03846153847
2,2008,601795.0
1,2009,87811.84615384616
2,2009,598473.0
1,2010,86942.92307692308
2,2010,601352.0
1,2011,88574.53846153847
2,2011,610222.0
1,2012,88045.42307692308
2,2012,616608.0
1,2013,88197.34615384616
2,2013,610896.0
1,2014,90522.0
2,2014,625687.0
1,2015,91678.53846153847
2,2015,634026.0
1,2016,86783.19230769231
2,2016,601437.0
1,2017,88912.76923076923
2,2017,611803.0
1,2018,89953.30769230769
2,2018,606146.0
1,2019,87152.11538461539
2,2019,583191.0
1,2020,83762.88461538461
2,2020,552310.0
1,2021,82763.92307692308
2,2021,525239.0
1,2022,78823.15384615384
2,2022,512520.0
1,2023,78217.92307692308
2,2023,503910.0
1,2024,73786.07692307692
2,2024,470887.0
