UF,2000,2024,Queda_absoluta,Queda_percentual
Roraima,9744.0,12090.0,-2346.0,-24.076354679802954
Mato Grosso,49478.0,55310.0,-5832.0,-11.787056873762076
Santa Catarina,94828.0,93787.0,1041.0,1.0977770278820602
Amazonas,67646.0,65950.0,1696.0,2.5071696774384296
Pará,126340.0,118566.0,7774.0,6.153237296184898
Goiás,94746.0,88867.0,5879.0,6.2050112933527535
Mato Grosso do Sul,40490.0,37908.0,2582.0,6.376883181032354
Maranhão,100811.0,92173.0,8638.0,8.568509388856375
Amapá,14238.0,12327.0,1911.0,13.421828908554573
Acre,15228.0,13101.0,2127.0,13.96769109535067
Paraíba,57427.0,49376.0,8051.0,14.019537848050568
Espírito Santo,58380.0,49937.0,8443.0,14.46214457005824
Tocantins,26205.0,21920.0,4285.0,16.35184125166953
Ceará,143393.0,105453.0,37940.0,26.458753216684215
Minas Gerais,300958.0,219819.0,81139.0,26.96024029931087
Paraná,179462.0,131027.0,48435.0,26.989000456921243
Rondônia,31307.0,21716.0,9591.0,30.635321174178298
Distrito Federal,47991.0,33282.0,14709.0,30.649496780646373
Alagoas,65763.0,45436.0,20327.0,30.90947797393671
São Paulo,687779.0,470887.0,216892.0,31.53512974371128
Pernambuco,163405.0,110827.0,52578.0,32.17649398733209
Piauí,58615.0,39697.0,18918.0,32.27501492791948
Sergipe,40716.0,27545.0,13171.0,32.34846252087632
Bahia,239530.0,160002.0,79528.0,33.201686636329484
Rio Grande do Norte,56444.0,36612.0,19832.0,35.13570972999787
Rio Grande do Sul,176719.0,111988.0,64731.0,36.62933810173213
Rio de Janeiro,259118.0,163722.0,95396.0,36.81565927492494
