Pais,2000,2024,Reducao_absoluta,Reducao_percentual,Indicador
Argentina,2.591,1.504,1.0870000000000002,41.95291393284447,Taxa de fecundidade
Índia,3.35,1.962,1.3880000000000001,41.43283582089553,Taxa de fecundidade
China,1.628,1.013,0.615,37.776412776412776,Taxa de fecundidade
Brasil,2.247,1.614,0.6329999999999998,28.170894526034708,Taxa de fecundidade
Estados Unidos,2.056,1.6265,0.4295,20.890077821011673,Taxa de fecundidade
Japão,1.36,1.15,0.2100000000000002,15.441176470588246,Taxa de fecundidade
França,1.89,1.61,0.2799999999999998,14.814814814814806,Taxa de fecundidade
China,14.03,6.77,7.26,51.74625801853172,Taxa bruta de natalidade
Argentina,19.328,11.086,8.241999999999999,42.642798013245034,Taxa bruta de natalidade
Índia,27.518,15.981,11.537,41.9252852678247,Taxa bruta de natalidade
Japão,9.5,5.7,3.8,40.0,Taxa bruta de natalidade
Brasil,19.879,12.133,7.746000000000002,38.96574274359878,Taxa bruta de natalidade
França,13.3,9.7,3.6000000000000014,27.06766917293234,Taxa bruta de natalidade
Estados Unidos,14.4,10.6,3.8000000000000007,26.388888888888896,Taxa bruta de natalidade
